Year,Interest
2004-01,80
2004-02,73
2004-03,75
2004-04,76
2004-05,74
2004-06,66
2004-07,62
2004-08,69
2004-09,67
2004-10,76
2004-11,89
2004-12,90
2005-01,70
2005-02,72
2005-03,71
2005-04,73
2005-05,72
2005-06,60
2005-07,68
2005-08,65
2005-09,64
2005-10,72
2005-11,89
2005-12,95
2006-01,69
2006-02,71
2006-03,69
2006-04,67
2006-05,70
2006-06,70
2006-07,64
2006-08,59
2006-09,69
2006-10,70
2006-11,94
2006-12,95
2007-01,69
2007-02,67
2007-03,64
2007-04,64
2007-05,62
2007-06,68
2007-07,64
2007-08,64
2007-09,61
2007-10,67
2007-11,75
2007-12,86
2008-01,67
2008-02,66
2008-03,64
2008-04,62
2008-05,61
2008-06,56
2008-07,53
2008-08,70
2008-09,56
2008-10,63
2008-11,73
2008-12,74
2009-01,62
2009-02,60
2009-03,62
2009-04,66
2009-05,64
2009-06,67
2009-07,66
2009-08,63
2009-09,60
2009-10,69
2009-11,78
2009-12,87
2010-01,70
2010-02,71
2010-03,70
2010-04,71
2010-05,74
2010-06,72
2010-07,67
2010-08,67
2010-09,69
2010-10,72
2010-11,77
2010-12,80
2011-01,69
2011-02,62
2011-03,63
2011-04,67
2011-05,66
2011-06,62
2011-07,67
2011-08,68
2011-09,70
2011-10,78
2011-11,94
2011-12,100
2012-01,94
2012-02,96
2012-03,85
2012-04,76
2012-05,72
2012-06,69
2012-07,68
2012-08,71
2012-09,65
2012-10,62
2012-11,68
2012-12,73
2013-01,65
2013-02,61
2013-03,62
2013-04,61
2013-05,58
2013-06,60
2013-07,57
2013-08,56
2013-09,57
2013-10,57
2013-11,64
2013-12,66
2014-01,55
2014-02,59
2014-03,57
2014-04,54
2014-05,54
2014-06,54
2014-07,56
2014-08,53
2014-09,54
2014-10,52
2014-11,61
2014-12,60
2015-01,53
2015-02,52
2015-03,49
2015-04,50
2015-05,49
2015-06,51
2015-07,48
2015-08,46
2015-09,45
2015-10,46
2015-11,53
2015-12,55
2016-01,45
2016-02,44
2016-03,45
2016-04,44
2016-05,44
2016-06,41
2016-07,40
2016-08,40
2016-09,40
2016-10,41
2016-11,45
2016-12,46
2017-01,42
2017-02,41
2017-03,42
2017-04,42
2017-05,40
2017-06,36
2017-07,34
2017-08,34
2017-09,33
2017-10,35
2017-11,39
2017-12,41
2018-01,36
2018-02,38
2018-03,39
2018-04,38
2018-05,37
2018-06,34
2018-07,33
2018-08,39
2018-09,39
2018-10,37
2018-11,40
2018-12,40
2019-01,35
2019-02,36
2019-03,36
2019-04,35
2019-05,31
2019-06,30
2019-07,28
2019-08,34
2019-09,31
2019-10,31
2019-11,34
2019-12,36
2020-01,35
2020-02,34
2020-03,41
2020-04,52
2020-05,50
2020-06,40
2020-07,40
2020-08,40
2020-09,39
2020-10,33
2020-11,35
2020-12,35
2021-01,33
2021-02,33
2021-03,32
2021-04,31
2021-05,31
2021-06,29
2021-07,33
